cin,name,pan,address_norm,incorporated_on,status
U00000DL1990PTC040423,ABHIYAN CHITS PRIVATE LIMITED,,FLAT NO 6 IIND FLOOR 10159PADAM SINGH ROAD KAROL BAGH NEW DELHI UNCLASSIFIED DL 110005,1990-06-06,Strike Off
U00000DL1990PTC041789,PARIJAT CONSTRUCTION PRIVATE LIMITED,,T 13 GREEN PARK EXTENSION NEW DELHI UNCLASSIFIED DL 110016,1990-10-16,Strike Off
U00000DL1990PTC041811,VISHRUT MARKETING PRIVATE LIMITED,,60 39 NEW ROHTAK ROAD KAROL BAGH NEW DELHI EAST DELHI UNCLASSIFIED DL 110005,1990-10-17,Strike Off
U00000DL1990PTC042097,D S S I EXPORTS PRIVATE LIMITED,,208 216 DDA COMMERCIAL COMPLEXAURBINDO PLACE HAUS KHAS NEW DELHI UNCLASSIFIED DL 110016,1990-11-16,Strike Off
U00000DL1991PTC043579,KRISHNA GROWTH FUND PVT LTD,,A 94 LAJPAT NAGAR NEW DELHI UNCLASSIFIED DL 110027,1991-03-20,Strike Off
U00000DL1991PTC044289,FLUSHING MEADOWS GOLF CLUB PRIVATE LIMITED,,A 16 9 POORVI MARGVASANT VIHAR NEW DELHI UNCLASSIFIED DL 110057,1991-05-09,Strike Off
U00000DL1991PTC046399,UNIQUE WARES PRIVATE LIMITED,,C 10 COMMUNITY CENTRE ASHOK VIHAR PHASE II NEW DELHI UNCLASSIFIED DL 110052,1991-09-14,Strike Off
U00000DL1992PTC047762,SUPERSHWA LAMINATES PRIVATE LIMITED,,1655 OUTRAM LANESKINGSWAY CAMP NEW DELHI UNCLASSIFIED DL 110009,1992-02-26,Strike Off
U00000DL1992PTC049147,INMA CHITS PRIVATE LIMITED,,30 SANT NAGAREAST OF KAILASH NEW DELHI UNCLASSIFIED DL 110065,1992-06-11,Strike Off
U00000DL1992PTC049660,K C INDUSTRIAL YARNS PRIVATE LIMITED,,BM 2A DILKUSH INDL ESTATEG T KARNAL ROAD AZADPUR NEW DELHI UNCLASSIFIED DL 110033,1992-07-22,Strike Off
U00000DL1992PTC049945,TANMAY HOUSING AND FINANCE PRIVATELIMITED,,RAM RATTAN AND CO MAIN ROADASOLA FATEAHPUR BERI NEW DELHI UNCLASSIFIED DL 110030,1992-08-13,Strike Off
U00000DL1992PTC049951,FAKIRSONS PRESS PRIVATE LIMITED,,A 9 NARAINA INDUSTRIAL AREAPHASE II NEW DELHI UNCLASSIFIED DL 110028,1992-08-14,Strike Off
U00000DL1992PTC051229,S P JAURA ASSOCIATES PRIVATE LIMITED,,H 549D SAKET NEW DELHI UNCLASSIFIED DL 110017,1992-12-03,Strike Off
