cin,name,pan,address_norm,incorporated_on,status
L01122DL1990PLC042207,SC AGROTECH LIMITED,,RZ 1484 28 GROUND FLOOR TUGHLAKABAD EXT NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110019,1990-11-28,Active
L01403DL1983PLC015704,SHIVAMSHREE BUSINESSES LIMITED,,A 31 GALI NO 2 MADHU VIHAR HANUMAN MANDIR DELHI EAST DELHI UNCLASSIFIED DL 110092,1983-05-12,Active
L01409DL1986PLC024284,VARUNA AGROPROTINS LIMITED,,82BMADANGIR VILLAGE NEW DELHI UNCLASSIFIED DL 110062,1986-05-21,Under liquidation
L10100DL1998PLC095131,KUMAUN MINERALS AND CHEMICALS (INDIA) LIMITED.,,4 43 SAFDARJUNG ENCLAVE IIND FLOOR NEW DELHI UNCLASSIFIED DL 000000,1998-07-23,Strike Off
L13100DL1976PLC188942,LANDMARK PROPERTY DEVELOPMENT COMPANYLIMITED,,11TH FLOOR NARAIN MANZIL 23 BARAKHAMBA ROAD NEW DELHI UNCLASSIFIED DL 110001,1976-12-28,Active
L13203DL1985PLC021536,SAJJAN COMMERCIAL ENTERPRISES LTD,,VARDAN HOUSE 17A 39 AJMAL KHAN ROAD WEA KAROL BAG NEW DELHI UNCLASSIFIED DL 110005,1985-03-23,Active
L15140DL1991PLC046327,SWARNIME OIL INDUSTRIES LIMITED,,51 40 EPDP COLONY C R PARK NEWDELHI UNCLASSIFIED DL 000000,1991-11-07,Not Available for eFiling
L15142DL1974PLC007349,MODI NATURALS LIMITED,,405 DEEPALI BUILDING 92 NEHRU PLACE NEW DELHI UNCLASSIFIED DL 110019,1974-07-06,Active
L15142DL1987PLC029899,RELIANCE INFOTEK LIMITED,,H NO 41 KH NO 72 GALI NO 4 G F HARGOVIND ENCLAVE RAJPUR KHURD EXT NEW DELHI NEW DELHI UNCLASSIFIED DL 110068,1987-11-26,Active
L15142DL1990PLC039291,TARAI FOODS LIMITED,,13 HANUMAN ROAD CONNAUGHT PLACE NEW DELHI UNCLASSIFIED DL 110001,1990-02-20,Active
L15142DL1991PLC046469,SUPERIOR INDUSTRIAL ENTERPRISES LIMITED,,25 BAZAR LANEBENGALI MARKET NEW DELHI UNCLASSIFIED DL 110001,1991-11-25,Active
L15142DL1992PLC049498,CHAND VANASPATI LIMITED,,D 9 4 MODEL TOWN NEW DELHI UNCLASSIFIED DL 110009,1992-07-09,Strike Off
L15202DL1959PLC003786,NESTLE INDIA LIMITED,,100 101 WORLD TRADE CENTRE BARAKHAMBA LANE NEW DELHI CENTRAL DELHI UNCLASSIFIED DL 110001,2059-03-28,Active
L15310DL1988PLC033651,MAHAVIRA FOODS LIMITED,,BUILDING NO 3405 4TH FLOOR GALI NO 1 D B GUPTA ROAD KAROL BAGH NEAR MANAS MANDIR DELHI NEW DELHI UNCLASSIFIED DL 110005,1988-10-26,Active
L15310DL1991PLC043456,KUMAR FOOD INDUSTRIES LIMITED,,71 1 SIRASPUR DELHI NORTH WEST UNCLASSIFIED DL 110042,1991-03-13,Active
L15311DL1993PLC052624,DFM FOODS LIMITED,,8377 ROSHANARA ROAD DELHI UNCLASSIFIED DL 110007,1993-03-17,Active
L15319DL1985PLC021348,FOCUS INDUSTRIAL RESOURCES LIMITED,,104 MUKAND HOUSECOMMERCIAL COMPLEX AZAPUR DELHI NEW DELHI UNCLASSIFIED DL 110033,1985-06-27,Active
L15419DL1987PLC350285,MAHAAN FOODS LIMITED,,M 19 1ST FLOOR M BLOCK MARKET GREATER KAILASH II NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110048,1987-03-13,Active
L15421DL1952PLC354222,GOBIND SUGAR MILLS LTD.,,BIRLA MILL COMPLEX P O BIRLA LINES G T ROAD NEAR CLOCK TOWER KAMLA NAGAR NORTH DELHI UNCLASSIFIED DL 110007,2052-08-18,Active
L15421DL1956PLC002652,BASTI SUGAR MILLS CO LTD,,207 ESSEL HOUSE 10 ASAF ALI ROAD DELHI CENTRAL DELHI UNCLASSIFIED DL 110006,2056-04-12,Amalgamated
L15421DL2002PLC118184,MAWANA SUGARS LIMITED,,6TH FLOOR KIRTI MAHAL 19 RAJENDRA PLACE NEW DELHI UNCLASSIFIED DL 110008,2002-12-26,Amalgamated
L15491DL1985PLC019848,VISISTH CHAY VYAPAR LIMITED,,A 446 BASEMENT DEFENCE COLONY NEW DELHI UNCLASSIFIED DL 110024,1985-01-16,Active
L15500DL1994PLC153183,REGENT ENTERPRISES LIMITED,,E 205 LGF GREATER KAILASH II NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110048,1994-07-13,Active
L15511DL1985PLC021272,LACY LIMITED,,FLAT NO 211 ANTRIKSH BHAWAN 22 K G MARG CONNAUGHT PLACE NEW DELHI NEW DELHI UNCLASSIFIED DL 110001,1985-06-21,Active
L15549DL1909PLC005478,HINDUSTAN BREWERIES AND BOTTLING LIMITED,,G 8 HOUSE NO 129 ROHINI SECTOR 16 NEAR METRO RITHALA NURSARY PARK NEW DELHI NEW DELHI UNCLASSIFIED DL 110089,2009-09-09,Active
L15549DL1962PLC003726,JOHN OAKEY AND MOHAN LIMITED,,OFFICE NO 4 FF CSC POCKET E MARKET MAYUR VIHAR PHASE II DELHI EAST DELHI UNCLASSIFIED DL 110091,2062-05-29,Active
L15549DL1981PLC012918,AMRIT INDIA LTD,,202 2 COMMUNITYXNARAINAND NARAINAND NEW DELHI UNCLASSIFIED DL 110028,1981-12-29,Active
L17100DL1985PLC303047,SRM ENERGY LIMITED,,21 BASANT LOK COMPLEX VASANT VIHAR NEW DELHI NEW DELHI UNCLASSIFIED DL 110057,1985-09-03,Active
L17110DL1993PLC055487,RADHIKA SPINNING MILLS LIMITED,,20 15 PATEL NAGAR WESTNEW DELHI NEW DELHI UNCLASSIFIED DL 000000,1993-10-04,Under liquidation
L17111DL1980PLC010814,SIDHARTHA SUPER SPINNING MILLS LIMITED,,211 GAGAN DEEP BLD 12 RAJENDRA PLACE NEW DELHI UNCLASSIFIED DL 110008,1980-08-30,Active
L17111DL1982PLC013790,SHREE WORSTEX LIMITED,,325 IIIRD FLOOR AGGARWAL PLAZA SECTOR 14 ROHINI NEW DELHI NORTH EAST UNCLASSIFIED DL 110085,1982-06-02,Active
L17111DL1986PLC024055,INDORAMA SYNTHETICS (INDIA)LIMITED,,903 MOHANDEV BLDG 13 TOLSTOY MARG N DELHI UNCLASSIFIED DL 000000,1986-04-28,Not Available for eFiling
L17120DL1984PLC018729,FIBER PLUS INDUSTRIES LIMITED,,A 19 B 1 EXTENSION MOHAN CO OPERATIVE IND ESTATE P O BADARPUR MATHURA ROAD NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110044,1984-07-19,Active
L17120DL2007PLC163192,LORENZINI APPARELS LIMITED,,C 64 OKHLA INDUSTRIAL AREA PHASE I NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110020,2007-05-09,Active
L17122DL1989PLC035050,SPORTKING INDIA LIMITED,,5 69 GURU MANSION PADAM SINGH ROAD NEW DELHI UNCLASSIFIED DL 110005,1989-02-15,Active
L17122DL1996PLC332121,APLAYA CREATIONS LIMITED,,UNIT NO DPT 208 2ND FLOOR DLF PRIME TOWERS F 79 80 OKHLA INDUSTRIAL AREA PHASE 1 NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110020,1996-06-05,Active
L17226DL1991PLC128367,IDEAL CARPETS LIMITED,,C 4 118 SAFDARJUNG ENCLAVE NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110029,1991-07-29,Active
L17291DL2009PLC196375,AKM LACE AND EMBROTEX LIMITED,,IX 6024 RAM GALI SUBHASH MOHALLA GANDHI NAGAR DELHI EAST DELHI UNCLASSIFIED DL 110031,2009-11-26,Active
L17299DL1983PLC163230,N K TEXTILE INDUSTRIES LTD,,OMAXE SQUARE PLOT NO 14 5TH FLOOR JASOLA DISTRICT CENTRE JASOLA NEW DELHI 110025 NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110025,1983-02-09,Active
L17299DL1994PLC062984,KOUTONS RETAIL INDIA LIMITED,,T 60 1 D C M SCHOOL LANENEW ROHTAK ROAD KAROL BAGH NEW DELHI NEW DELHI UNCLASSIFIED DL 000000,1994-11-25,Under liquidation
L17300DL1995PLC107286,SRU STEELS LIMITED,,A 48 1ST FLOOR WAZIRPUR INDUSTRIAL AREA DELHI NORTH WEST UNCLASSIFIED DL 110052,1995-09-11,Active
L17309DL2016PLC307204,DCM NOUVELLE LIMITED,,407 VIKRANT TOWER 4 RAJENDRA PLACE NEW DELHI CENTRAL DELHI UNCLASSIFIED DL 110008,2016-10-17,Active
L18100DL1983PLC016354,A F ENTERPRISES LIMITED,,DSM 334 DLF TOWERS SHIVAJI MARG DELHI CENTRAL DELHI UNCLASSIFIED DL 110015,1983-08-18,Active
L18101DL1970PLC005197,SRF LIMITED,,THE GALLERIA DLF MAYUR VIHAR UNIT NO 236 237 2ND FLOOR MAYUR PLACE MAYUR VIHAR PHASE I EXTN NEW DELHI EAST DELHI UNCLASSIFIED DL 110091,1970-01-09,Active
L18101DL1978PLC009241,T T LIMITED,,879 MASTER PRITHVI NATH MARGKAROL BAGH NEW DELHI UNCLASSIFIED DL 110005,1978-09-29,Active
L18101DL1984PLC019544,PALOMA KNITWEAR INTERNATIONAL LIMITED,,3 6 D B GUPTA ROAD PAHARGANJ NEW DELHI UNCLASSIFIED DL 000000,1984-12-10,Active
L18101DL1986PLC025638,H-LON HOSIERY LTD.,,C 4 1 WAZIRPUR INDL AREA MAINROAD NEW DELHI 52 UNCLASSIFIED DL 000000,1986-10-01,Dissolved
L18101DL1989PLC034528,RIBA TEXTILES LIMITED,,DD 14 NEHRU ENCLAVE OPP KALKAJI POST OFFICE NEW DELHI UNCLASSIFIED DL 110019,1989-01-04,Active
L18101DL1989PLC269075,REGAL ENTERPRISES LTD,,R 17A 3RD FLOOR 2ND COLONY RAGHUBIR NAGAR NEAR 25SQ YDS DELHI NEW DELHI UNCLASSIFIED DL 110027,1989-11-06,Active
L18101DL2003PLC121698,AVSL INDUSTRIES LIMITED,,UNIT NO 1001 10TH FLOOR NDM 2 WAZIRPUR DISTRICT CENTRE NETAJI SUBHASH PLACE PITAMPURA NEW DELHI NORTH WEST UNCLASSIFIED DL 110034,2003-08-08,Active
L18101DL2005PLC134879,INDOSOLAR LIMITED,,C 12 FRIENDS COLONY EAST NEW DELHI UNCLASSIFIED DL 110065,2005-04-08,Active
L19201DL1989PLC035728,VISHAL FOOTWEAR LIMITED,,SHOP NO 123 PLOT NO 23 VARDAMAN CHARVE PLAZA K P BLOCK COMM COMPLEX PRITAMPUR NEW DELHI NEW DELHI UNCLASSIFIED DL 110034,1989-04-03,Active
L20765DL1985PLC020765,MUNAK GALVA SHEETS LIMITED,,42 COMMUNITY CENTRE FRIENDS COLONY N DELHI UNCLASSIFIED DL 110065,1985-04-24,Active
L21011DL1974PLC241646,OMANSH ENTERPRISES LIMITED,,SHOP NO QD 37 DDA MARKET PITAMPURA NEW DELHI NORTH WEST UNCLASSIFIED DL 110034,1974-03-20,Active
L21012DL1972PLC279773,SHREE KRISHNA PAPER MILLS & INDUSTRIESLTD,,4830 24 PRAHLAD STREET ANSARI ROAD DARYA GANJ NEW DELHI CENTRAL DELHI UNCLASSIFIED DL 110002,1972-09-14,Active
L21022DL1986PLC024750,BEST BOARD LIMITED,,BHARAT YUVAK BHAWAN I JAISINGH ROAD N DELHI UNCLASSIFIED DL 000000,1986-07-08,Dissolved
L21090DL1995PLC066281,B J DUPLEX BOARDS LIMITED,,H NO 83 T F CHAWRI BAZAR DELHI DELHI NORTH DELHI UNCLASSIFIED DL 110006,1995-03-13,Active
L21093DL1980PLC010492,MAGNUM VENTURES LIMITED.,,STREET NO 3 ANSARI ROAD OFFICE NO 205 2ND FLOOR BUILDING NO 4326 DARYA GANJ UNCLASSIFIED DL 110002,1980-05-29,Active
L21093DL1992PLC116600,MOHIT PAPER MILLS LIMITED,,15A 13UPPER GROUND FLOOR EAST PATEL NAGAR NEW DELHI UNCLASSIFIED DL 110008,1992-06-30,Active
L21100DL1983PLC334800,ALCHEMIST REALTY LIMITED,,BUILDING 23 NEHRU PLACE DELHI NEW DELHI UNCLASSIFIED DL 110019,1983-03-03,Active
