cin,name,status,roc
L24231WB1945PLC012790,CENTRAL BENGAL CHEMICAL WORKS LTD,Strike Off,RoC-Kolkata
L24232WB1987PLC042645,B A B MEDICO LTD,Strike Off,RoC-Kolkata
L24236WB1981PLC033786,BUFFALO DENTAL MANUFACTURING CO (INDIA)LTD,Strike Off,RoC-Kolkata
L24291WB1939PLC009561,BRAHMAPUTRA MATCH WORKS LTD,Strike Off,RoC-Kolkata
L25111WB1996PLC079107,RAGHU BIR INDUSTRIES LTD.,Strike Off,RoC-Kolkata
L25199WB2002PLC094385,MYSORE RUBBERS LIMITED,Strike Off,RoC-Kolkata
L25200MH1987PLC042597,BHOR MARBLEX LTD,Strike Off,RoC-Mumbai
L25200MH1996PLC099165,JAMES POLYMERS LIMITED,Strike Off,RoC-Mumbai
L25200MH2000PLC127204,ABHI-MAN PLASTICS LIMITED,Strike Off,RoC-Mumbai
L25206MH1995PLC092936,ADISH POLYMERS LIMITED,Strike Off,RoC-Mumbai
L25209MH1992PLC065986,JAYSUN PLASTO-MECH ENGINEERING LTD,Strike Off,RoC-Mumbai
L25209WB1982PLC035103,EXTRUSIONS AGRO DRAINAGE LTD,Strike Off,RoC-Kolkata
L26910MH1995PLC087120,PARIJAT CERAMICS LIMITED,Strike Off,RoC-Mumbai
L26939WB1946PLC014012,BALSUKH REFRACTORIES & CERAMICS LTD,Strike Off,RoC-Kolkata
L27100MH1996PLC097607,DINSONS METAL LIMITED,Strike Off,RoC-Mumbai
L27106WB1962PLC025665,BIHAR MALLEABLE CASTINGS LTD,Strike Off,RoC-Kolkata
L27201WB1985PLC038401,CHIRAG-RAUSHANI (BHARAT) LTD.,Strike Off,RoC-Kolkata
L27201WB1985PLC039312,ROTOMAC INTERNATIONAL LTD,Strike Off,RoC-Kolkata
L27310WB1959PLC024332,CALCUTTA STEEL CO LTD,Strike Off,RoC-Kolkata
L28123MH1996PLC102626,INDUSA C0-GENERATORS LIMITED,Strike Off,RoC-Mumbai
L28900MH1996PLC100234,KURNAL IRON AND STEEL LIMITED,Strike Off,RoC-Mumbai
L28910MH1992PLC068481,USHA MARTIN PRECISION FORGINGS LTD,Strike Off,RoC-Mumbai
L28939MH1996PLC097951,GRID CLAMPS LIMITED,Strike Off,RoC-Mumbai
L28939MH1996PLC099412,AAKANKSHA PRESS COMPONENTS LIMITED,Strike Off,RoC-Mumbai
L28992MH2000PLC125042,MILLENNIUM PACKAGING (INDIA) LIMITED,Strike Off,RoC-Mumbai
L29130WB1990PLC048400,PRAGATI GEARS LTD,Strike Off,RoC-Kolkata
L29130WB1996PLC081619,SBPT DRIVE SYSTEM LIMITED,Strike Off,RoC-Kolkata
L29150WB1981PLC034006,CLIMAX EXTRUSIONS LTD,Strike Off,RoC-Kolkata
