cin,name,status,roc
L66020WB1938PLC009535,PROVIDENT UNION INSURANCE CO LTD,Strike Off,RoC-Kolkata
L67120MH1994PLC079614,PAMVI MARKETING LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC086318,WINSON SECURITIES LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC086823,JVIN SECURITIES AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC088123,BENNETT SECURITIES LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC089028,ALMEIDA AND COMPANY STOCK BROKERS LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC091863,SHRI GAUTAM GHANDHAR RESOURCES LIMITED,Strike Off,RoC-Mumbai
L67120MH1995PLC092114,AVON INVESTMENTS (INDIA) LIMITED,Strike Off,RoC-Mumbai
L67120MH1996PLC097546,RINKU SECURITIES LIMITED,Strike Off,RoC-Mumbai
L67190MH1992PLC068702,SARTHAK CAPITAL SERVICES LIMITED,Strike Off,RoC-Mumbai
L67190MH1995PLC092284,JASOLMAA FINVEST LIMITED,Strike Off,RoC-Mumbai
L67190MH1995PLC093499,SARAS CORPORATE SERVICES LIMITED,Strike Off,RoC-Mumbai
L67190MH1996PLC096785,REAL HOME DWELLERS AND FINANCE COMPANY LIMITED,Strike Off,RoC-Mumbai
L67190MH1996PLC098672,SNIGDHA MANAGEMENT SERVICES LIMITED,Strike Off,RoC-Mumbai
L72100MH1999PLC123404,CG COMNET LIMITED,Strike Off,RoC-Mumbai
L72200MH1996PLC098912,SOJI COMPUTECH INDIA LIMITED,Strike Off,RoC-Mumbai
L72200MH1996PLC103870,SOBHRAJ RANI INDUSTRIES LIMITED,Strike Off,RoC-Mumbai
L72200MH2000PLC125290,WALL STREE COM INDIA LIMITED,Strike Off,RoC-Mumbai
L72200MH2000PLC126988,MEL INFOTECH LIMITED,Strike Off,RoC-Mumbai
L72200PN1987PLC043491,METTA TECHNOLOGY TRANSFER (INDIA) LTD,Strike Off,RoC-Pune
L72300DL2000PLC105071,SECURE ECOMM LIMITED,Strike Off,RoC-Delhi
L72300MH2000PLC127869,BSE INDICES LIMITED,Strike Off,RoC-Mumbai
L72900MH1999PLC121121,PAR INFOSYS LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC124911,VIRTUAL WEARHOUSE LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC125036,BCONNECTB WORLDWIDE LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC125041,GLOBUS TECHNOLOGIES LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC125070,CYBERWEB GLOBAL SERVICES LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC125232,JAYESH INFOTECH LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC125971,DOMAIN9 INDIA LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC127246,TIRUPATI ICE COM LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC127742,POWER E-MARK (INDIA) LIMITED,Strike Off,RoC-Mumbai
L72900MH2000PLC128171,GARIMA INFOTECH LIMITED,Strike Off,RoC-Mumbai
L72900MH2001PLC130843,AYUSHMAN COMMUNICATION LIMITED,Strike Off,RoC-Mumbai
L73200MH1996PLC102294,CHESCOR RESEARCH AND CONSULTANCY LIMITED,Strike Off,RoC-Mumbai
L74120MH1994PLC080094,SHUSHILA TRIBHOVANDAS BHIMJI ZAVERI JEWELLERS AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L74140MH1992PLC068496,RUCHITA CONSULTANCY LTD,Strike Off,RoC-Mumbai
L74899DL1992PLC050092,PIONEER POLYALLOYS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC059122,HFCL CREDITAND PORTFOLIO LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC059512,HCL OFFSHORE SOFTWARE LLIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC059513,HCL SOFTWARE SOLUTIONS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC059517,HCL INTEGRATED SOLUTIONS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC059765,PALACIAL HOTEL AND RESORTS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC060268,DIGBOI BOTTLING ENGINEERS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC061731,S E I SYSTEMS LIMITED,Strike Off,RoC-Delhi
L74899DL1994PLC063061,TRIVENI FININVEST AND TRADING LIMITED,Strike Off,RoC-Delhi
L74899DL1995PLC065943,MFL APPARELS LIMITED,Strike Off,RoC-Delhi
L74899DL1995PLC067627,RAJLAKSHMI FINANCE & CAPITAL LIMITED,Strike Off,RoC-Delhi
L74899DL1995PLC070563,ATUL CHEMICALS LIMITED,Strike Off,RoC-Delhi
L74899DL1995PLC072566,SIEL PROJECTS ENGINEERING AND CONSULTANCY SERVICES LIMITED,Strike Off,RoC-Delhi
L74899DL1995PLC072759,UFL EXPORTS LIMITED,Strike Off,RoC-Delhi
L74899DL1999PLC101315,EMERGENT INDUSTRIES AND TECHNOLOGIES LIMITED,Strike Off,RoC-Delhi
L74899DL2000PLC104222,MICRO SOFTACE PRODUCTS LIMITED.,Strike Off,RoC-Delhi
L74899DL2000PLC106134,SHRIRAM EDUCARE LIMITED,Strike Off,RoC-Delhi
L74899DL2000PLC108133,SHREE BAJRANG ROADLINES LTD,Strike Off,RoC-Delhi
L74999MH1993PLC073746,GONDWANA MINERAL PRODUCTS LTD,Strike Off,RoC-Mumbai
L74999MH1999PLC118514,KRISHNA FLOORS LIMITED,Strike Off,RoC-Mumbai
L85110MH1992PLC070230,MADALSA HOSPITALS LIMITED,Strike Off,RoC-Mumbai
L85195MH2000PLC128748,BIO HERBAL HEALTH CARE (INDIA) LIMITED,Strike Off,RoC-Mumbai
L92110MH1995PLC087726,PARIJAT STUDIO LIMITED,Strike Off,RoC-Mumbai
L92410MH1994PLC078474,MICKEY MEHTA`S MARATHON WORKS LIMITED,Strike Off,RoC-Mumbai
L92411MH1976PLC018903,GAYATRI CONSULTANCY SERVICES LTD,Strike Off,RoC-Pune
L99999MH1985PLC038410,KINGS STEELS LTD,Strike Off,RoC-Mumbai
L99999MH1994PLC077467,DEVANG REROLLERS LTD,Strike Off,RoC-Mumbai
L99999MH1996PLC101512,STERLING MANUFACTURING COMPANY LIMITED,Strike Off,RoC-Mumbai
U00000DL1974PTC007240,KAMAL ENTERPRISES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1976PTC008117,NAJIBABAD FINANCE PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1978PTC009362,DURGA PHARMACEUTICALS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1982PTC013700,NEETRA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1982PTC109770,AVIS INTERNATIONAL (EXPORTS ) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1984PTC018357,JAS MEDIA INDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1986PTC024641,NAVCHETAN BOOKS PRIVATE LTD,Strike Off,RoC-Delhi
U00000DL1988PTC030282,STANFORGE ENGINEERS PVT LTD,Strike Off,RoC-Delhi
U00000DL1988PTC030330,W G ASSOCIATES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1988PTC030535,JAYAMAN INVESTMENTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1988PTC031019,D P METALS PVT LTD,Strike Off,RoC-Delhi
U00000DL1988PTC031055,N R POWER BLOCKS PVT LTD,Strike Off,RoC-Delhi
U00000DL1988PTC031258,CHADHA PROPERTIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1989PTC037772,KAITTKEE CHITS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1989PTC037819,OLYMPIC INTERNATIONAL (ENGINES) PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL1990PTC040121,WOODVILLE RESORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1990PTC040423,ABHIYAN CHITS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1990PTC041789,PARIJAT CONSTRUCTION PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1990PTC041811,VISHRUT MARKETING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1990PTC042097,D S S I EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1991PTC043579,KRISHNA GROWTH FUND PVT LTD,Strike Off,RoC-Delhi
U00000DL1991PTC044289,FLUSHING MEADOWS GOLF CLUB PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1991PTC046399,UNIQUE WARES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC047762,SUPERSHWA LAMINATES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC049147,INMA CHITS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC049660,K C INDUSTRIAL YARNS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC049945,TANMAY HOUSING AND FINANCE PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC049951,FAKIRSONS PRESS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1992PTC051229,S P JAURA ASSOCIATES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1993PTC053590,KAILASH THREADS PVT LTD,Strike Off,RoC-Delhi
U00000DL1993PTC054235,ROHINI PROPERTIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1995PLC068228,SIBANI SECURITIES LTD,Strike Off,RoC-Delhi
U00000DL1995PLC072123,KEJRIWAL CAPITAL LTD,Strike Off,RoC-Delhi
U00000DL1995PTC066693,MANPURIA MOTORS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1995PTC074593,ARPAN PARADISE PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1995PTC074691,ALBATROSS GOLF CO PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1996PTC078825,JOT MARKETING INDIA PVT LTD,Strike Off,RoC-Delhi
U00000DL1997PTC085690,MAPLE DESIGN STUDIO PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1997PTC087880,NAMAH SHIVAYA EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1998PLC091846,WWW COMMUNICATIONS LIMITED,Strike Off,RoC-Delhi
U00000DL1998PTC093373,BIOTECH RESEARCH AND ANALYTICAL SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1999PLC101844,OSWAL ALUMINIUM LIMITED,Strike Off,RoC-Delhi
U00000DL1999PTC099239,SNEH INTERIORS (PVT) LTD,Strike Off,RoC-Delhi
U00000DL1999PTC101018,SHIVAM INTERNET SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1999PTC101098,ECOSOFT TECHNOLOGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1999PTC101378,UNISELECT EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1999PTC101850,TOWNSHIP COMMUNICATIONS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL1999PTC101893,PURTI CHITS PRIVATE LIMITED.,Strike Off,RoC-Delhi
U00000DL2000PLC103379,ELABH TECHNOLOGIES LIMITED,Strike Off,RoC-Delhi
U00000DL2000PLC105553,TRANS SUPPORT INFO LIMITED,Strike Off,RoC-Delhi
U00000DL2000PLC105884,ROCKMAN PRINTERS AND PUBLISHERS LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC103179,NEW NARINDERA CARGO SERVICES PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC103347,ITIL ONLINE PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC103708,MONI TECH SYSTEMS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC103975,GURSHUBH INTERNATIONAL PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC104064,HANUKAH TRADING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC104147,MATCHLINE IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC104322,TRISHLA PRODUCTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC104441,BEST INFOTECH PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC104654,SUN STOCK CAPITAL PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC105547,WEBFUTURZ NET PVT. LTD.,Strike Off,RoC-Delhi
U00000DL2000PTC105645,BLUE-HEAVEN TEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC105720,GOL INDIA PORTAL PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC105832,SILICON INFOWAYS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC106931,CELCEL TECHNOLOGY PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC107200,NEEL KAMAL ELECTRONICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108423,ACOLYTE PHARMACEUTICALS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108469,INDRUS ADVISORY PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108489,ARROW DETECTIVE AND ALLIED SERVICESPRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108504,HIGH BRIDGE FASHIONS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108544,INWAY NET WORK MARKETING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108561,INTELLISTUDENT SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108573,ALLIED VENTURES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108576,INTELIPAC SYSTEMS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108649,DHARMYUG MULTIMEDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108728,APNA MOTELS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108737,B T TELETRONICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108745,ABYSS ENTERTAINMENT PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108765,VASU IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108805,DIMSAN MARKETING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108821,SKY BLUE DESIGN PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108822,G F I IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108825,SATYAM SYSTEMS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108826,SASAS ENGINEERING AND CONSTRUCTION PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108840,N H 2000 C COM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108852,INTERACTIVE ACADEMIC POINT PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108855,ALAKNANDA PRUDUCTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108865,VAISHNAVI HOME ENTERTAINMENT PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108904,THREE SIXTY DEGREES COMMUNICATIONSPRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108905,SHARE MARKET ADVISOR PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108914,PANTECH INTERNATIONAL PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108925,ESSEL ELECTROSYS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108930,BANKAI BEHARI GRANITE AND CONTRACTORS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108947,SHIVANK SECURITIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108948,S T TOURS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108953,I J EXIM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108981,FROZEN NATURAL IMPORT EXPORT PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC108991,BASERA MERCHANDISING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC109010,JUPITER TELEKOM CONSTRUCTIONS PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2000PTC109021,GOPALA SWEETS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001FTC109383,PRAYGA CONSULTANCY PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PLC110169,PRITHVI SINGH ENTERPRISES LIMITED,Strike Off,RoC-Delhi
U00000DL2001PLC110721,TAKSHILA ENTERPRISES LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109060,ITN ENERGY PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109063,ANAND PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109068,S-RAY NETWORK MARKETING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109269,MARDAN PLACEMENT BUREAU PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109284,S R N EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109298,UNIDATA ASIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109303,TIRUPATI ALUMEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109363,SUVIDHA SIGNS AND GRAPHICS PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109370,SYMPHONY TOURS AND FOREX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109374,PRATIK POWERTECH PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109393,MAAS IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109467,SHIKHAR FORWARDERS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109524,SUCHIT ELECTRICALS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109552,RAI ROLLS MOTORS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109592,DHANYA MARINE EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109598,HISAR DISC PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109603,AXES DESIGN PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109605,SAAN AND CO. PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109611,FAST GROWTH SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109654,HASSAN HOME CONSTRUCTION PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109693,ANNEX SECURITY SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109716,KIDARSON AND COMPANY IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109717,NDC TELECOMMUNICATIONS INDIA PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109740,IDEAL MEDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109830,LAKRA FOREX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109861,DEVISHA NIRMAN AVM SAMVARDHAN PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109868,G G SECURITY SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109870,ALPHA SCIENCE PUBLISHERS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109871,DUCENT TECHNOLOGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109877,ADIT SOFTWARE SOLUTIONS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109880,SNELLING PERSONNEL SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109894,SHIVA HK SALES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109900,GC TECHNOLOGY (INDIA) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109911,NEW JERSEY INFOTECH AND TRAINING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109914,CRITICAL PHASE TECHNOLOGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109916,RIBS SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109927,UAV MULTI VISION PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109929,METRO EQUIPMENT AND MACHINE PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109930,WINGS SOFTECH PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109935,HSJ AGENCIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109938,KLEEN POWER (INDIA) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109943,WESTGROUP EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109951,SHREE OM NAMAHA SHIVA MARKETING PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109955,NK JINDAL IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109957,GATEWAY TECHNO CONSULTANTS PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109962,DIGNITY AUTOCOMPS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109987,VRA ENTERPRISES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC109990,EROS WIRELESS NET PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110000,FOUR M ADVERTISSING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110009,PARVINDER EXPORTS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110012,MULTITECH FOREX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110021,SPC MARKETING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110023,SHIMEG GRAPHICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110027,MATTOO PLUS OVERSEAS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110040,AGRIN FOLINE.COM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110045,SKYLINK ELECTRONICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110053,R BOHRA INDUSTRIAL CONSULTANCY PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110054,RIM TECHSHOP PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110056,PEE KAY EXIM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110057,MAXIMA NET SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110059,SNP MICRO ELECTRONICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110061,CATALYSTS SERVICES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110069,WELL IN TIME COURIERS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110070,PRAYOJAN ELECTRONICS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110073,STOLLER INDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110087,AMERICAN INSTITUTE OF TECHNOLOGY (INDIA) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110090,CME MUKUL COMPANY (INDIA) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110094,ALPHA SYNERGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110104,MICROTONE ADVERTISING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110125,VAISHNO PLASTIC MOULDERS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110129,DELTA MEDICARE PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110130,BESTPHONES TECHNOLOGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110132,ONS IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110141,SPRINGS IMPEX PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110155,OVERSEAS TRADES AND SERVICES PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110188,GALACTIC INFORMATION TECHNOLOGIES PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110314,SN AQUA SYSTEM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110393,DOMES FOODS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110420,K AND B INDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2001PTC110587,ALERT ACCESS SYSTEMS PVT. LTD.,Strike Off,RoC-Delhi
U00000DL2001PTC113288,SATAS INDIA PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2002PTC118006,SDP TRADING PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2003PTC120117,ALLIANCE LIFELINE SERVICES PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2004PTC130226,AGNI INFOCOM PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2005PTC132850,COGNATE CONSTRUCTIONS PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000DL2005PTC132960,ARCTURUS INFOTECH (INDIA) PRIVATELIMITED,Strike Off,RoC-Delhi
U00000DL2014PTC111111,PRD TEST PRIVATE LIMITED,Strike Off,RoC-Delhi
U00000MH1991PTC060830,KALAKAR TRADING AND INVESTMENT COMPANY PVT LTD,Strike Off,RoC-Mumbai
U00000PN2000PTC015542,S S MARKETIERS INDIA PRIVATE LIMITED,Strike Off,RoC-Pune
U00002MH1994PTC077591,PRAKALP RESORTS AND PLANTATIONS P.LTD.,Strike Off,RoC-Pune
U00017PN2006PTC022343,SHRI VAGHESHWARI AGROFARM AND ANIMALSPRIVATE LIMITED,Strike Off,RoC-Pune
U00019DL2005PTC137976,H.R.INFORMATION TEHCNOLOGIES PRIVATELIMITED,Strike Off,RoC-Delhi
U00019PN2006PTC128352,HAIBATBABA AGRO SERVICES PRIVATE LIMITED,Strike Off,RoC-Pune
U00029PN2006PTC022318,PARIS AGROTECH (INDIA) PRIVATE LIMITED,Strike Off,RoC-Pune
U00041DL1946PTC000960,RAISIVA COLD STORAGE AND ICE CO.PVT.LTD.,Strike Off,RoC-Delhi
U00042DL2005PTC139030,HORIZON DEWDROPS WATERTECH PRIVATELIMITED,Strike Off,RoC-Delhi
U00061DL1952PTC002120,ANAND TRADERS (AGENTS AND SHIPPERS) PRIVATE LIMITED,Strike Off,RoC-Delhi
U00062PN2006PTC022305,BWA APPLIANCES PRIVATE LIMITED,Strike Off,RoC-Pune
U00062PN2006PTC128393,MAHARAJA AUTO DEALERS PRIVATE LIMITED,Strike Off,RoC-Pune
